GPA,Core_Subject_Score,Academic_Consistency,Research_Participation,Programming_Skill,Domain_Knowledge,Tool_Proficiency,Certification_Count,Internship_Count,Internship_Duration,Industry_Relevance,Project_Experience,Communication_Skill,Teamwork_Ability,Leadership_Potential,Adaptability,Learning_Motivation,Career_Clarity,Market_Awareness,Higher_Study_Interest,Target_Industry_Code,Workshop_Participation,Online_Course_Hours,Networking_Activity,Learning_Path_Generation_Time,Employment_Competitiveness_Score
9.14,91.0,2.43,0.0,73.0,63.0,60.0,4.0,4.0,9.3,0.93,2.0,59.0,49.0,74.0,66.0,62.0,87.0,55.0,0.0,1.0,1.0,246.0,64.0,11.92,58.15
9.15,,1.27,0.0,57.0,61.0,72.0,3.0,1.0,3.0,0.72,7.0,55.0,85.0,47.0,90.0,87.0,32.0,95.0,1.0,6.0,6.0,45.6,83.0,4.14,
9.4,,0.58,1.0,93.0,49.0,66.0,5.0,2.0,17.6,0.76,0.0,42.0,89.0,77.0,93.0,74.0,37.0,70.0,0.0,4.0,2.0,131.9,66.0,10.61,
9.61,83.0,,1.0,46.0,83.0,58.0,1.0,1.0,1.9,0.2,2.0,88.0,54.0,71.0,,96.0,88.0,58.0,1.0,2.0,10.0,2.1,42.0,5.07,
7.8,55.0,1.28,0.0,,62.0,55.0,3.0,0.0,16.8,0.23,3.0,76.0,,70.0,61.0,72.0,31.0,66.0,1.0,7.0,3.0,30.5,51.0,3.33,
7.76,89.0,0.82,0.0,94.0,97.0,31.0,3.0,3.0,16.4,0.52,2.0,97.0,60.0,87.0,57.0,71.0,91.0,93.0,0.0,6.0,1.0,146.8,68.0,3.1,80.93
9.09,60.0,0.55,0.0,70.0,98.0,44.0,1.0,0.0,9.5,0.17,6.0,79.0,74.0,71.0,55.0,70.0,78.0,39.0,1.0,7.0,4.0,74.4,38.0,10.28,40.71
8.42,91.0,2.01,0.0,64.0,51.0,33.0,4.0,4.0,13.0,0.31,5.0,83.0,57.0,64.0,41.0,79.0,49.0,50.0,1.0,4.0,8.0,226.4,97.0,4.05,52.83
8.66,59.0,1.42,,77.0,61.0,79.0,0.0,3.0,7.8,0.32,6.0,64.0,80.0,67.0,86.0,60.0,58.0,45.0,1.0,6.0,11.0,101.5,86.0,4.39,48.66
9.08,87.0,1.08,0.0,53.0,83.0,67.0,3.0,2.0,11.3,0.16,3.0,62.0,65.0,96.0,52.0,53.0,,69.0,0.0,5.0,8.0,52.0,58.0,2.77,
9.51,68.0,2.3,0.0,47.0,80.0,52.0,3.0,3.0,6.1,0.21,6.0,83.0,89.0,70.0,84.0,82.0,51.0,76.0,0.0,3.0,6.0,136.4,79.0,11.56,58.86
7.02,66.0,0.73,0.0,66.0,84.0,88.0,4.0,1.0,5.4,0.79,3.0,98.0,97.0,79.0,55.0,96.0,35.0,44.0,0.0,5.0,11.0,198.7,30.0,3.31,58.89
7.19,74.0,2.41,1.0,93.0,89.0,57.0,4.0,1.0,10.4,0.17,2.0,40.0,,74.0,47.0,61.0,91.0,42.0,0.0,3.0,7.0,4.9,68.0,3.35,
5.92,78.0,1.13,1.0,41.0,48.0,95.0,2.0,3.0,9.0,0.03,4.0,72.0,89.0,48.0,82.0,58.0,60.0,60.0,0.0,4.0,4.0,126.4,34.0,11.35,25.59
8.1,88.0,2.28,0.0,56.0,82.0,37.0,4.0,4.0,10.4,0.63,5.0,54.0,59.0,46.0,47.0,81.0,91.0,37.0,0.0,4.0,4.0,193.4,80.0,10.86,48.73
5.66,79.0,1.71,1.0,76.0,69.0,58.0,3.0,1.0,5.2,0.98,4.0,56.0,64.0,94.0,93.0,60.0,41.0,,1.0,5.0,11.0,25.9,,3.36,
7.6,83.0,2.15,0.0,53.0,,40.0,1.0,,6.6,0.33,5.0,73.0,64.0,85.0,49.0,86.0,41.0,37.0,0.0,6.0,2.0,225.7,34.0,,
7.94,93.0,2.47,0.0,64.0,74.0,47.0,0.0,2.0,1.5,0.12,7.0,56.0,89.0,70.0,94.0,73.0,92.0,72.0,1.0,7.0,5.0,66.1,98.0,3.37,52.43
6.79,85.0,1.08,0.0,95.0,56.0,84.0,2.0,3.0,0.9,0.57,5.0,91.0,99.0,71.0,72.0,56.0,45.0,36.0,1.0,3.0,0.0,42.7,98.0,1.47,55.41
8.16,77.0,2.42,0.0,69.0,48.0,79.0,1.0,1.0,4.6,0.91,6.0,97.0,49.0,35.0,70.0,57.0,54.0,51.0,0.0,3.0,2.0,147.3,92.0,9.93,30.54
,92.0,1.28,0.0,68.0,,43.0,0.0,4.0,1.3,0.78,6.0,80.0,98.0,98.0,51.0,82.0,51.0,70.0,0.0,2.0,10.0,43.8,24.0,,
5.67,74.0,1.27,1.0,59.0,73.0,38.0,0.0,0.0,1.9,0.62,4.0,83.0,98.0,69.0,48.0,,47.0,36.0,1.0,1.0,1.0,169.9,48.0,3.89,
9.2,77.0,1.18,0.0,60.0,53.0,40.0,0.0,3.0,14.6,0.32,1.0,43.0,76.0,70.0,76.0,50.0,74.0,68.0,0.0,6.0,6.0,122.5,81.0,1.54,37.13
7.12,70.0,1.58,0.0,92.0,48.0,92.0,5.0,2.0,0.7,0.54,7.0,52.0,50.0,38.0,48.0,52.0,97.0,61.0,0.0,6.0,8.0,27.5,79.0,2.87,39.32
6.07,62.0,0.81,0.0,61.0,95.0,96.0,1.0,1.0,11.9,0.09,3.0,,74.0,37.0,87.0,89.0,41.0,71.0,1.0,2.0,3.0,228.1,88.0,9.37,
7.85,75.0,1.61,0.0,74.0,68.0,82.0,2.0,4.0,4.9,0.68,6.0,46.0,70.0,73.0,57.0,77.0,78.0,,0.0,4.0,6.0,168.3,41.0,11.59,
8.96,55.0,1.58,1.0,76.0,58.0,68.0,2.0,3.0,15.7,0.73,7.0,85.0,81.0,87.0,69.0,92.0,62.0,48.0,1.0,5.0,7.0,136.5,32.0,3.48,68.38
6.47,62.0,2.02,0.0,55.0,49.0,85.0,0.0,4.0,8.7,0.97,6.0,98.0,57.0,96.0,71.0,82.0,92.0,57.0,1.0,6.0,9.0,93.6,69.0,,
8.3,83.0,2.17,0.0,89.0,62.0,57.0,1.0,4.0,5.5,0.26,6.0,48.0,73.0,42.0,79.0,95.0,47.0,78.0,0.0,3.0,1.0,33.7,66.0,3.12,52.43
5.88,86.0,1.38,1.0,97.0,86.0,68.0,5.0,2.0,9.3,0.02,2.0,62.0,49.0,48.0,62.0,50.0,83.0,99.0,1.0,2.0,6.0,176.9,48.0,8.32,46.59
5.73,92.0,1.1,0.0,88.0,63.0,54.0,0.0,,6.9,0.55,4.0,72.0,69.0,78.0,50.0,87.0,56.0,95.0,0.0,5.0,11.0,203.4,99.0,1.46,
,59.0,1.02,0.0,82.0,56.0,50.0,4.0,1.0,10.2,0.71,4.0,72.0,57.0,59.0,59.0,76.0,54.0,89.0,1.0,7.0,2.0,31.5,36.0,7.23,
7.93,76.0,0.89,0.0,56.0,62.0,39.0,2.0,2.0,2.1,0.79,6.0,59.0,68.0,95.0,58.0,87.0,63.0,84.0,1.0,,7.0,123.6,39.0,3.6,43.62
8.37,88.0,0.62,0.0,55.0,61.0,72.0,3.0,1.0,17.9,0.19,2.0,43.0,75.0,88.0,75.0,84.0,89.0,46.0,0.0,6.0,5.0,121.2,97.0,11.15,57.59
8.77,55.0,1.18,1.0,97.0,74.0,44.0,0.0,0.0,7.7,0.26,6.0,40.0,64.0,82.0,91.0,,83.0,49.0,0.0,1.0,2.0,87.5,25.0,3.83,
9.89,80.0,1.04,1.0,,68.0,77.0,4.0,4.0,6.3,0.51,3.0,93.0,99.0,81.0,65.0,61.0,34.0,51.0,1.0,3.0,7.0,197.3,41.0,5.08,
7.82,64.0,2.43,0.0,41.0,55.0,50.0,,0.0,12.8,0.33,2.0,81.0,52.0,60.0,49.0,59.0,65.0,68.0,0.0,5.0,10.0,24.9,28.0,10.17,
6.95,84.0,1.62,1.0,43.0,79.0,89.0,5.0,,6.6,0.86,6.0,73.0,53.0,44.0,63.0,83.0,83.0,69.0,,7.0,2.0,51.3,51.0,5.54,
9.08,72.0,1.19,0.0,60.0,67.0,79.0,1.0,2.0,15.0,0.47,5.0,66.0,65.0,49.0,52.0,73.0,65.0,73.0,0.0,3.0,8.0,0.4,52.0,3.24,48.19
6.72,71.0,1.66,0.0,78.0,61.0,52.0,2.0,1.0,8.2,0.8,1.0,60.0,95.0,34.0,91.0,77.0,98.0,89.0,0.0,6.0,10.0,93.2,96.0,6.8,46.9
7.48,80.0,0.78,0.0,73.0,45.0,42.0,1.0,1.0,13.0,,5.0,63.0,64.0,36.0,85.0,71.0,68.0,93.0,0.0,2.0,2.0,72.8,89.0,10.16,
5.85,62.0,1.39,0.0,69.0,59.0,98.0,1.0,2.0,1.9,0.77,1.0,54.0,59.0,47.0,92.0,94.0,99.0,39.0,1.0,7.0,0.0,216.7,68.0,5.48,29.15
5.61,,1.75,0.0,45.0,,33.0,5.0,3.0,15.2,0.33,2.0,74.0,70.0,85.0,73.0,65.0,33.0,64.0,1.0,5.0,1.0,186.5,49.0,2.03,
9.83,66.0,1.48,0.0,56.0,53.0,38.0,5.0,0.0,,0.83,5.0,64.0,98.0,74.0,68.0,62.0,94.0,38.0,0.0,7.0,3.0,21.1,35.0,4.91,
9.26,81.0,1.3,1.0,78.0,59.0,64.0,0.0,0.0,3.8,0.27,3.0,94.0,86.0,57.0,75.0,85.0,69.0,49.0,1.0,6.0,10.0,185.2,84.0,11.48,50.58
8.63,62.0,2.49,0.0,64.0,72.0,50.0,0.0,1.0,2.6,0.55,7.0,48.0,55.0,79.0,46.0,85.0,66.0,69.0,1.0,5.0,1.0,168.9,33.0,1.33,23.36
7.34,79.0,2.26,0.0,44.0,68.0,87.0,2.0,1.0,5.7,0.21,5.0,56.0,,31.0,90.0,92.0,96.0,89.0,0.0,7.0,3.0,70.4,75.0,5.2,
6.28,58.0,1.75,0.0,44.0,79.0,47.0,5.0,1.0,17.6,0.48,4.0,60.0,85.0,97.0,69.0,72.0,60.0,94.0,0.0,2.0,3.0,,56.0,,
6.2,87.0,1.64,0.0,59.0,66.0,72.0,4.0,2.0,,0.32,,99.0,55.0,53.0,56.0,63.0,76.0,58.0,0.0,7.0,3.0,28.8,68.0,1.4,
6.63,55.0,1.74,0.0,55.0,71.0,35.0,2.0,3.0,8.2,0.27,7.0,52.0,71.0,,87.0,81.0,56.0,56.0,0.0,3.0,0.0,62.5,97.0,4.47,
7.97,73.0,0.9,0.0,90.0,63.0,96.0,3.0,0.0,0.5,0.97,1.0,42.0,74.0,74.0,52.0,52.0,80.0,78.0,0.0,3.0,8.0,204.2,69.0,11.32,41.14
8.72,85.0,1.29,1.0,80.0,89.0,41.0,1.0,4.0,7.2,0.16,1.0,43.0,63.0,87.0,95.0,76.0,49.0,66.0,1.0,5.0,9.0,116.3,55.0,0.85,56.84
8.47,70.0,0.58,0.0,76.0,56.0,41.0,1.0,2.0,10.3,0.79,6.0,43.0,78.0,65.0,63.0,68.0,42.0,85.0,1.0,6.0,10.0,229.6,71.0,9.15,44.44
6.76,68.0,1.45,0.0,79.0,64.0,95.0,0.0,0.0,17.2,0.98,3.0,82.0,82.0,31.0,93.0,71.0,92.0,37.0,0.0,2.0,6.0,197.3,42.0,10.18,46.41
9.8,59.0,1.59,0.0,48.0,45.0,31.0,4.0,3.0,9.3,0.02,1.0,67.0,67.0,47.0,94.0,50.0,73.0,66.0,0.0,4.0,1.0,71.8,85.0,3.69,28.44
,80.0,0.96,0.0,44.0,65.0,44.0,5.0,2.0,14.7,0.7,1.0,46.0,97.0,78.0,70.0,54.0,53.0,36.0,0.0,3.0,2.0,211.3,90.0,2.97,
7.99,82.0,2.43,0.0,81.0,93.0,52.0,5.0,0.0,9.8,0.25,6.0,65.0,45.0,37.0,97.0,98.0,32.0,93.0,,7.0,7.0,29.2,64.0,11.02,55.71
8.25,56.0,2.32,1.0,96.0,89.0,58.0,0.0,2.0,0.7,0.04,3.0,50.0,47.0,87.0,,82.0,39.0,48.0,0.0,4.0,6.0,9.0,47.0,9.29,
7.39,60.0,1.94,0.0,41.0,45.0,36.0,3.0,0.0,5.7,0.4,5.0,63.0,47.0,44.0,89.0,68.0,94.0,85.0,1.0,7.0,3.0,152.1,39.0,1.8,11.98
6.61,63.0,1.57,0.0,48.0,54.0,57.0,2.0,0.0,10.4,0.94,2.0,82.0,72.0,46.0,60.0,85.0,78.0,45.0,0.0,5.0,3.0,85.4,68.0,2.94,20.32
,87.0,2.24,0.0,82.0,91.0,43.0,2.0,3.0,17.1,0.01,,49.0,58.0,52.0,83.0,55.0,87.0,44.0,1.0,4.0,8.0,82.4,76.0,7.65,
8.91,,0.76,0.0,75.0,76.0,73.0,4.0,4.0,15.5,0.59,4.0,76.0,96.0,95.0,94.0,64.0,31.0,92.0,0.0,6.0,4.0,171.8,78.0,5.32,
5.56,67.0,2.08,0.0,61.0,83.0,59.0,0.0,3.0,4.1,0.5,4.0,52.0,74.0,99.0,96.0,85.0,95.0,68.0,0.0,7.0,,212.5,45.0,6.3,
6.02,63.0,0.75,1.0,61.0,66.0,61.0,0.0,0.0,4.0,0.87,1.0,83.0,98.0,56.0,40.0,82.0,60.0,87.0,0.0,6.0,4.0,80.5,38.0,11.44,16.09
5.71,67.0,2.09,0.0,61.0,62.0,99.0,,2.0,3.6,0.08,7.0,81.0,49.0,66.0,54.0,73.0,97.0,62.0,0.0,7.0,6.0,81.3,32.0,5.33,
5.68,,1.05,1.0,73.0,92.0,35.0,2.0,3.0,,0.68,4.0,78.0,93.0,78.0,42.0,76.0,66.0,52.0,1.0,4.0,0.0,133.5,93.0,10.64,
9.35,65.0,2.25,0.0,94.0,90.0,56.0,0.0,4.0,15.3,,2.0,58.0,59.0,93.0,45.0,98.0,53.0,60.0,0.0,6.0,2.0,163.3,81.0,8.1,
8.67,58.0,2.39,1.0,68.0,76.0,53.0,5.0,0.0,13.9,0.67,1.0,,82.0,63.0,53.0,60.0,73.0,41.0,0.0,3.0,1.0,50.7,,,
7.63,88.0,0.8,0.0,77.0,71.0,63.0,4.0,3.0,7.1,0.94,6.0,58.0,,47.0,94.0,98.0,70.0,79.0,1.0,5.0,10.0,228.2,92.0,,
,92.0,1.43,0.0,98.0,72.0,69.0,2.0,3.0,9.1,0.82,4.0,51.0,58.0,93.0,77.0,72.0,80.0,79.0,0.0,4.0,9.0,163.6,30.0,6.48,
7.71,,2.46,0.0,85.0,62.0,76.0,3.0,3.0,8.4,0.04,7.0,91.0,93.0,73.0,72.0,82.0,71.0,69.0,0.0,7.0,5.0,156.3,86.0,3.09,
7.63,92.0,1.47,1.0,72.0,83.0,53.0,4.0,3.0,4.6,0.47,6.0,61.0,52.0,46.0,91.0,90.0,69.0,86.0,1.0,3.0,10.0,226.0,31.0,3.83,66.4
6.28,73.0,2.23,0.0,57.0,93.0,94.0,1.0,2.0,,0.4,0.0,86.0,52.0,88.0,77.0,95.0,77.0,,1.0,7.0,11.0,226.8,54.0,6.91,
7.45,60.0,1.68,0.0,46.0,,47.0,5.0,4.0,0.5,0.31,0.0,76.0,63.0,42.0,47.0,96.0,33.0,62.0,0.0,4.0,5.0,33.9,58.0,7.42,
7.29,88.0,1.25,0.0,40.0,62.0,73.0,3.0,4.0,2.4,0.45,0.0,,76.0,81.0,65.0,78.0,89.0,78.0,1.0,7.0,9.0,,,11.63,
8.27,72.0,1.07,1.0,72.0,88.0,86.0,,0.0,16.0,0.38,6.0,69.0,75.0,89.0,54.0,80.0,68.0,90.0,1.0,3.0,0.0,190.5,33.0,10.33,
8.36,67.0,0.91,0.0,40.0,52.0,57.0,0.0,1.0,13.5,0.43,0.0,,73.0,71.0,53.0,50.0,34.0,44.0,0.0,6.0,5.0,239.2,84.0,2.87,
5.7,77.0,2.02,1.0,63.0,98.0,52.0,1.0,2.0,7.6,0.98,5.0,51.0,85.0,93.0,,83.0,35.0,57.0,1.0,6.0,9.0,166.6,46.0,9.4,
7.19,73.0,1.27,0.0,43.0,75.0,63.0,3.0,0.0,9.3,0.09,0.0,68.0,55.0,95.0,59.0,67.0,43.0,82.0,1.0,5.0,1.0,102.8,79.0,0.6,21.85
8.32,65.0,1.52,0.0,43.0,78.0,40.0,0.0,0.0,6.7,0.92,1.0,60.0,89.0,63.0,94.0,67.0,99.0,86.0,1.0,7.0,10.0,170.9,62.0,1.99,37.02
7.76,55.0,1.48,0.0,57.0,51.0,64.0,5.0,3.0,13.3,0.48,,50.0,57.0,93.0,87.0,55.0,41.0,49.0,1.0,6.0,3.0,57.2,,2.8,
9.35,78.0,1.65,1.0,66.0,80.0,71.0,1.0,1.0,14.1,0.62,5.0,99.0,71.0,62.0,98.0,89.0,91.0,89.0,0.0,2.0,5.0,249.5,74.0,7.37,82.12
8.46,,2.23,0.0,82.0,62.0,57.0,2.0,1.0,13.7,0.83,7.0,76.0,63.0,41.0,58.0,50.0,56.0,77.0,0.0,3.0,2.0,107.8,54.0,,
,79.0,2.46,1.0,98.0,82.0,53.0,0.0,2.0,13.0,0.36,3.0,87.0,70.0,48.0,95.0,96.0,83.0,84.0,0.0,3.0,2.0,232.9,51.0,4.7,
5.82,75.0,1.32,0.0,71.0,53.0,37.0,4.0,1.0,3.7,0.43,1.0,97.0,97.0,38.0,72.0,91.0,41.0,40.0,0.0,4.0,11.0,107.7,38.0,3.29,27.82
8.39,69.0,2.16,0.0,72.0,53.0,82.0,3.0,0.0,6.1,0.41,7.0,57.0,95.0,46.0,75.0,79.0,37.0,67.0,0.0,5.0,2.0,232.0,58.0,4.38,42.0
5.62,55.0,2.03,0.0,67.0,90.0,33.0,1.0,1.0,8.5,0.37,1.0,83.0,81.0,79.0,63.0,53.0,45.0,96.0,1.0,1.0,3.0,83.9,39.0,11.34,10.97
8.14,66.0,1.65,0.0,81.0,52.0,34.0,0.0,1.0,6.0,0.93,2.0,,92.0,68.0,49.0,81.0,81.0,89.0,0.0,6.0,8.0,190.1,47.0,11.97,
9.73,61.0,2.41,1.0,80.0,95.0,78.0,2.0,4.0,13.6,0.83,7.0,66.0,53.0,70.0,91.0,59.0,55.0,73.0,0.0,1.0,3.0,237.8,22.0,8.39,70.17
8.09,69.0,0.9,1.0,94.0,79.0,59.0,3.0,0.0,,0.11,5.0,76.0,72.0,,89.0,92.0,,46.0,1.0,2.0,3.0,161.5,51.0,7.08,
7.25,75.0,0.72,1.0,75.0,62.0,92.0,3.0,1.0,2.5,0.11,,87.0,76.0,41.0,73.0,54.0,74.0,65.0,1.0,5.0,3.0,169.4,77.0,8.65,
8.39,73.0,2.21,1.0,99.0,49.0,76.0,0.0,1.0,7.2,0.43,0.0,51.0,96.0,44.0,75.0,58.0,48.0,87.0,1.0,3.0,6.0,25.7,73.0,9.37,31.87
7.56,83.0,1.38,0.0,45.0,58.0,55.0,2.0,3.0,17.6,0.1,1.0,62.0,98.0,57.0,86.0,,46.0,68.0,0.0,1.0,4.0,118.6,61.0,9.0,
7.96,79.0,2.19,0.0,55.0,,,5.0,1.0,4.1,0.62,0.0,73.0,47.0,33.0,75.0,,94.0,75.0,1.0,2.0,11.0,221.7,34.0,1.44,
,87.0,2.29,1.0,73.0,74.0,66.0,5.0,1.0,11.0,0.14,7.0,77.0,95.0,65.0,55.0,84.0,,44.0,1.0,5.0,1.0,60.2,81.0,4.07,
7.24,86.0,0.62,0.0,62.0,48.0,36.0,1.0,4.0,7.8,0.52,3.0,62.0,76.0,94.0,54.0,76.0,43.0,86.0,0.0,2.0,6.0,197.1,50.0,4.45,40.72
9.83,89.0,2.27,1.0,89.0,83.0,69.0,0.0,0.0,1.3,0.01,6.0,92.0,49.0,76.0,57.0,53.0,46.0,91.0,0.0,6.0,2.0,168.9,80.0,4.75,48.33
9.57,,1.4,1.0,81.0,64.0,68.0,1.0,2.0,8.8,0.32,5.0,64.0,52.0,68.0,46.0,59.0,42.0,37.0,1.0,1.0,10.0,55.7,45.0,4.46,
6.38,80.0,1.52,0.0,63.0,69.0,91.0,5.0,0.0,12.6,0.68,4.0,43.0,,67.0,86.0,88.0,92.0,91.0,0.0,4.0,0.0,70.7,88.0,9.55,
5.81,65.0,1.75,1.0,95.0,72.0,82.0,3.0,3.0,9.2,0.48,6.0,69.0,47.0,73.0,61.0,82.0,62.0,67.0,0.0,4.0,8.0,106.9,76.0,9.1,50.16
5.95,89.0,2.35,0.0,88.0,56.0,33.0,1.0,0.0,15.7,0.98,7.0,69.0,68.0,80.0,71.0,87.0,58.0,41.0,0.0,5.0,4.0,31.3,39.0,0.55,40.97
5.58,62.0,0.54,0.0,52.0,46.0,54.0,2.0,1.0,5.2,0.87,7.0,52.0,57.0,55.0,82.0,57.0,66.0,38.0,0.0,2.0,9.0,228.3,85.0,3.91,14.94
5.92,68.0,1.45,0.0,95.0,87.0,36.0,4.0,3.0,1.6,0.36,6.0,81.0,87.0,65.0,58.0,98.0,75.0,73.0,0.0,3.0,0.0,184.8,40.0,7.67,54.75
8.57,64.0,1.88,0.0,57.0,,57.0,5.0,0.0,16.9,0.05,4.0,88.0,73.0,98.0,79.0,73.0,53.0,82.0,0.0,1.0,10.0,91.2,79.0,1.88,
5.82,56.0,1.95,0.0,93.0,66.0,98.0,5.0,,6.8,0.85,7.0,53.0,52.0,,95.0,88.0,43.0,50.0,0.0,4.0,0.0,74.9,82.0,1.32,
6.94,63.0,1.89,0.0,52.0,75.0,96.0,2.0,2.0,10.4,0.91,7.0,95.0,95.0,82.0,40.0,,34.0,72.0,0.0,4.0,0.0,172.4,70.0,10.03,
9.3,57.0,0.77,1.0,88.0,67.0,49.0,1.0,0.0,14.3,0.82,1.0,86.0,86.0,35.0,74.0,90.0,82.0,38.0,1.0,2.0,11.0,106.1,58.0,5.71,53.18
5.6,75.0,1.1,1.0,76.0,92.0,,0.0,1.0,5.8,0.13,2.0,47.0,75.0,66.0,44.0,92.0,59.0,38.0,1.0,4.0,8.0,57.3,30.0,10.34,
9.17,80.0,1.22,0.0,82.0,64.0,96.0,3.0,3.0,12.9,1.0,7.0,94.0,70.0,31.0,89.0,68.0,89.0,61.0,0.0,7.0,7.0,107.5,76.0,9.97,86.5
6.77,62.0,2.11,0.0,,82.0,36.0,4.0,4.0,2.4,0.26,0.0,63.0,62.0,98.0,51.0,51.0,57.0,51.0,1.0,2.0,10.0,217.8,22.0,10.77,
6.03,56.0,1.06,1.0,81.0,99.0,52.0,0.0,3.0,5.2,0.72,1.0,57.0,62.0,70.0,51.0,60.0,55.0,88.0,0.0,1.0,5.0,17.2,56.0,1.06,23.97
8.64,60.0,0.92,0.0,56.0,48.0,90.0,0.0,4.0,2.6,0.91,2.0,74.0,51.0,80.0,60.0,84.0,47.0,42.0,0.0,2.0,9.0,92.1,44.0,2.64,33.94
8.33,82.0,2.41,0.0,54.0,59.0,63.0,2.0,1.0,14.6,0.24,0.0,64.0,92.0,76.0,98.0,66.0,65.0,87.0,1.0,4.0,5.0,240.6,40.0,3.91,46.52
9.45,83.0,0.52,0.0,57.0,68.0,48.0,1.0,2.0,4.0,0.91,3.0,56.0,82.0,42.0,97.0,91.0,37.0,39.0,0.0,2.0,5.0,3.7,99.0,2.07,49.99
8.81,80.0,2.5,0.0,62.0,69.0,87.0,5.0,4.0,12.9,0.31,6.0,71.0,92.0,98.0,58.0,52.0,47.0,81.0,0.0,4.0,3.0,222.7,61.0,6.08,71.44
9.12,79.0,1.85,0.0,93.0,45.0,38.0,5.0,2.0,17.0,0.98,6.0,,60.0,95.0,48.0,71.0,87.0,74.0,0.0,6.0,4.0,93.7,20.0,9.69,
6.77,66.0,2.16,1.0,90.0,51.0,77.0,2.0,3.0,9.5,0.28,4.0,63.0,99.0,88.0,82.0,84.0,61.0,41.0,1.0,5.0,9.0,47.4,42.0,11.44,48.65
6.3,59.0,1.09,0.0,69.0,75.0,70.0,1.0,1.0,9.7,0.95,2.0,46.0,77.0,97.0,88.0,70.0,78.0,46.0,0.0,4.0,2.0,3.7,43.0,10.73,30.64
8.88,88.0,0.53,0.0,97.0,56.0,77.0,2.0,4.0,8.3,0.05,0.0,52.0,95.0,88.0,87.0,74.0,77.0,59.0,0.0,7.0,2.0,17.6,66.0,5.76,70.75
9.13,91.0,1.98,0.0,73.0,86.0,74.0,5.0,3.0,5.9,0.71,7.0,66.0,47.0,39.0,75.0,88.0,94.0,62.0,1.0,7.0,9.0,43.0,26.0,7.82,75.29
9.96,69.0,2.17,0.0,97.0,49.0,54.0,0.0,0.0,8.6,0.53,1.0,87.0,82.0,42.0,81.0,51.0,62.0,77.0,0.0,7.0,6.0,6.4,57.0,3.15,38.7
7.36,90.0,1.98,0.0,43.0,88.0,54.0,3.0,,10.9,0.48,0.0,44.0,48.0,31.0,93.0,50.0,79.0,81.0,0.0,7.0,4.0,84.0,66.0,5.13,
7.17,69.0,0.79,1.0,42.0,94.0,48.0,1.0,2.0,17.7,0.22,1.0,75.0,80.0,,86.0,56.0,33.0,83.0,0.0,4.0,7.0,11.2,54.0,10.52,
8.99,77.0,2.01,1.0,46.0,86.0,68.0,,1.0,16.9,0.71,6.0,65.0,48.0,75.0,96.0,69.0,,88.0,0.0,4.0,4.0,173.1,97.0,0.84,
7.03,60.0,2.04,0.0,95.0,82.0,56.0,4.0,1.0,15.5,0.19,4.0,81.0,86.0,86.0,90.0,92.0,57.0,52.0,0.0,5.0,11.0,204.7,81.0,6.63,68.2
9.69,75.0,1.82,1.0,57.0,56.0,92.0,0.0,3.0,16.0,0.55,7.0,84.0,53.0,39.0,71.0,55.0,32.0,61.0,1.0,6.0,3.0,221.9,92.0,10.54,48.16
,77.0,2.03,1.0,81.0,,97.0,,0.0,8.4,0.25,4.0,70.0,84.0,51.0,74.0,85.0,35.0,40.0,1.0,3.0,2.0,137.3,22.0,1.9,
7.43,70.0,,1.0,46.0,62.0,48.0,2.0,2.0,11.8,0.96,0.0,,95.0,37.0,70.0,70.0,74.0,56.0,0.0,4.0,11.0,236.6,39.0,11.8,
8.88,69.0,1.73,0.0,79.0,46.0,57.0,5.0,3.0,16.1,0.03,0.0,85.0,61.0,50.0,99.0,95.0,52.0,93.0,0.0,3.0,1.0,1.4,63.0,0.64,61.39
8.9,79.0,0.68,0.0,45.0,54.0,62.0,0.0,3.0,7.1,0.2,1.0,65.0,61.0,51.0,,84.0,36.0,81.0,0.0,1.0,2.0,33.5,51.0,10.69,
5.96,90.0,1.48,0.0,61.0,,39.0,5.0,1.0,,0.24,1.0,61.0,77.0,74.0,94.0,85.0,90.0,66.0,0.0,6.0,6.0,73.3,45.0,4.57,
9.56,65.0,0.66,0.0,97.0,74.0,59.0,5.0,2.0,7.5,0.41,2.0,51.0,64.0,69.0,71.0,57.0,94.0,35.0,0.0,2.0,7.0,197.3,67.0,2.03,61.2
7.77,69.0,1.32,0.0,40.0,88.0,51.0,,0.0,10.8,0.23,6.0,71.0,58.0,51.0,76.0,99.0,35.0,88.0,0.0,3.0,4.0,221.3,24.0,2.31,
9.22,58.0,1.31,0.0,43.0,61.0,32.0,5.0,1.0,12.8,0.49,2.0,66.0,66.0,59.0,71.0,53.0,53.0,80.0,0.0,7.0,10.0,154.5,78.0,8.56,31.43
6.94,75.0,0.63,1.0,,48.0,77.0,5.0,3.0,17.1,0.87,2.0,72.0,96.0,91.0,82.0,92.0,66.0,75.0,0.0,6.0,0.0,95.8,80.0,10.51,
9.53,67.0,1.2,1.0,88.0,51.0,31.0,4.0,1.0,4.4,0.71,0.0,92.0,71.0,74.0,95.0,65.0,74.0,75.0,0.0,1.0,2.0,166.5,68.0,7.87,52.99
7.25,76.0,0.72,1.0,91.0,85.0,83.0,2.0,,13.4,0.58,5.0,91.0,87.0,64.0,76.0,52.0,80.0,42.0,0.0,6.0,3.0,45.2,49.0,11.18,
